date,geography,geography code,Welsh speaking ability: Total: All usual residents aged 3 years and over,Welsh speaking ability: Cannot speak Welsh,Welsh speaking ability: Can speak Welsh
2021,Isle of Anglesey 001A,W01000003,2370,959,1411
2021,Isle of Anglesey 001B,W01000004,1229,608,621
2021,Isle of Anglesey 005A,W01000005,1585,1001,584
2021,Isle of Anglesey 006A,W01000006,1494,417,1077
2021,Isle of Anglesey 009A,W01000007,1738,624,1114
2021,Isle of Anglesey 008A,W01000008,1417,385,1032
2021,Isle of Anglesey 007C,W01000009,1818,571,1247
2021,Isle of Anglesey 002A,W01000010,1775,910,865
2021,Isle of Anglesey 008B,W01000011,999,542,457
2021,Isle of Anglesey 006B,W01000012,1656,454,1202
2021,Isle of Anglesey 005B,W01000013,2130,905,1225
2021,Isle of Anglesey 006C,W01000014,2128,455,1673
2021,Isle of Anglesey 008C,W01000015,1431,456,975
2021,Isle of Anglesey 003A,W01000016,1157,723,434
2021,Isle of Anglesey 003B,W01000017,1636,887,749
2021,Isle of Anglesey 001C,W01000018,1148,607,541
2021,Isle of Anglesey 005C,W01000019,1325,802,523
2021,Isle of Anglesey 002C,W01000021,2266,1075,1191
2021,Isle of Anglesey 004A,W01000022,1576,616,960
2021,Isle of Anglesey 007D,W01000023,1525,528,997
2021,Isle of Anglesey 007E,W01000024,1293,812,481
2021,Isle of Anglesey 009B,W01000025,2097,520,1577
2021,Isle of Anglesey 005D,W01000026,1229,661,568
2021,Isle of Anglesey 009C,W01000027,1812,656,1156
2021,Isle of Anglesey 001D,W01000028,1920,631,1289
2021,Isle of Anglesey 003C,W01000029,1541,825,716
2021,Isle of Anglesey 003D,W01000030,2236,1320,916
2021,Isle of Anglesey 001E,W01000031,1512,658,854
2021,Isle of Anglesey 003E,W01000033,1504,936,568
2021,Isle of Anglesey 004B,W01000034,1399,721,678
2021,Isle of Anglesey 005E,W01000035,1743,796,947
2021,Isle of Anglesey 003F,W01000036,1070,681,389
2021,Isle of Anglesey 003G,W01000037,1126,625,501
2021,Isle of Anglesey 009D,W01000038,2179,846,1333
2021,Isle of Anglesey 004D,W01000040,1041,677,364
2021,Isle of Anglesey 006D,W01000041,1529,385,1144
2021,Isle of Anglesey 008D,W01000042,1982,828,1154
2021,Isle of Anglesey 004F,W01000044,1070,553,517
2021,Gwynedd 011A,W01000047,1233,277,956
2021,Gwynedd 003A,W01000050,1400,591,809
2021,Gwynedd 015A,W01000051,1945,535,1410
2021,Gwynedd 004A,W01000052,1061,150,911
2021,Gwynedd 004B,W01000053,1144,354,790
2021,Gwynedd 007A,W01000054,988,172,816
2021,Gwynedd 009A,W01000056,1720,407,1313
2021,Gwynedd 016C,W01000057,1358,543,815
2021,Gwynedd 006A,W01000059,2027,385,1642
