date,geography,geography code,Welsh writing ability: Total: All usual residents aged 3 years and over,Welsh writing ability: Cannot write Welsh,Welsh writing ability: Can write Welsh
2021,Isle of Anglesey 001A,W01000003,2370,1212,1158
2021,Isle of Anglesey 001B,W01000004,1229,705,524
2021,Isle of Anglesey 005A,W01000005,1585,1149,436
2021,Isle of Anglesey 006A,W01000006,1494,537,957
2021,Isle of Anglesey 009A,W01000007,1738,760,978
2021,Isle of Anglesey 008A,W01000008,1417,522,895
2021,Isle of Anglesey 007C,W01000009,1818,713,1105
2021,Isle of Anglesey 002A,W01000010,1775,1031,744
2021,Isle of Anglesey 008B,W01000011,999,621,378
2021,Isle of Anglesey 006B,W01000012,1656,593,1063
2021,Isle of Anglesey 005B,W01000013,2130,1093,1037
2021,Isle of Anglesey 006C,W01000014,2128,615,1513
2021,Isle of Anglesey 008C,W01000015,1431,577,854
2021,Isle of Anglesey 003A,W01000016,1157,827,330
2021,Isle of Anglesey 003B,W01000017,1635,1043,592
2021,Isle of Anglesey 001C,W01000018,1149,700,449
2021,Isle of Anglesey 005C,W01000019,1325,881,444
2021,Isle of Anglesey 002C,W01000021,2266,1240,1026
2021,Isle of Anglesey 004A,W01000022,1576,725,851
2021,Isle of Anglesey 007D,W01000023,1525,638,887
2021,Isle of Anglesey 007E,W01000024,1293,885,408
2021,Isle of Anglesey 009B,W01000025,2097,691,1406
2021,Isle of Anglesey 005D,W01000026,1229,784,445
2021,Isle of Anglesey 009C,W01000027,1812,828,984
2021,Isle of Anglesey 001D,W01000028,1921,772,1149
2021,Isle of Anglesey 003C,W01000029,1541,1021,520
2021,Isle of Anglesey 003D,W01000030,2236,1554,682
2021,Isle of Anglesey 001E,W01000031,1512,764,748
2021,Isle of Anglesey 003E,W01000033,1504,1110,394
2021,Isle of Anglesey 004B,W01000034,1400,898,502
2021,Isle of Anglesey 005E,W01000035,1743,953,790
2021,Isle of Anglesey 003F,W01000036,1070,807,263
2021,Isle of Anglesey 003G,W01000037,1126,784,342
2021,Isle of Anglesey 009D,W01000038,2178,1007,1171
2021,Isle of Anglesey 004D,W01000040,1041,761,280
2021,Isle of Anglesey 006D,W01000041,1529,571,958
2021,Isle of Anglesey 008D,W01000042,1982,1042,940
2021,Isle of Anglesey 004F,W01000044,1070,635,435
2021,Gwynedd 011A,W01000047,1233,333,900
2021,Gwynedd 003A,W01000050,1397,717,680
2021,Gwynedd 015A,W01000051,1945,689,1256
2021,Gwynedd 004A,W01000052,1061,208,853
2021,Gwynedd 004B,W01000053,1144,455,689
2021,Gwynedd 007A,W01000054,989,241,748
2021,Gwynedd 009A,W01000056,1718,536,1182
2021,Gwynedd 016C,W01000057,1358,615,743
2021,Gwynedd 006A,W01000059,2028,569,1459
2021,Gwynedd 015B,W01000060,1227,703,524
2021,Gwynedd 011B,W01000061,1698,802,896
2021,Gwynedd 001A,W01000062,1964,1637,327
2021,Gwynedd 005A,W01000063,1847,663,1184
2021,Gwynedd 002A,W01000064,1943,1137,806
2021,Gwynedd 009B,W01000065,995,335,660
2021,Gwynedd 010A,W01000066,1143,485,658
2021,Gwynedd 016D,W01000067,1165,554,611
2021,Gwynedd 016E,W01000068,1374,660,714
2021,Gwynedd 012A,W01000070,1263,417,846
2021,Gwynedd 003B,W01000071,2174,760,1414
2021,Gwynedd 002B,W01000072,1633,900,733
2021,Gwynedd 008A,W01000073,1620,445,1175
2021,Gwynedd 013B,W01000074,1770,921,849
2021,Gwynedd 002C,W01000075,1369,972,397
2021,Gwynedd 001B,W01000076,1273,924,349
2021,Gwynedd 001C,W01000077,1146,823,323
2021,Gwynedd 011C,W01000078,1517,551,966
2021,Gwynedd 014C,W01000080,1424,709,715
2021,Gwynedd 005B,W01000081,1958,723,1235
2021,Gwynedd 015C,W01000082,1067,433,634
2021,Gwynedd 015D,W01000083,1318,326,992
2021,Gwynedd 014D,W01000084,1047,455,592
2021,Gwynedd 017C,W01000085,1889,1259,630
2021,Gwynedd 008B,W01000086,2113,740,1373
2021,Gwynedd 004C,W01000087,1778,365,1413
2021,Gwynedd 007B,W01000088,2009,519,1490
2021,Gwynedd 011D,W01000089,1869,562,1307
2021,Gwynedd 002D,W01000090,1315,774,541
2021,Gwynedd 001D,W01000091,1048,647,401
2021,Gwynedd 001E,W01000092,3035,2404,631
2021,Gwynedd 006B,W01000093,2184,594,1590
2021,Gwynedd 012B,W01000094,1186,378,808
2021,Gwynedd 012C,W01000095,1261,393,868
2021,Gwynedd 003C,W01000096,1218,315,903
2021,Gwynedd 003D,W01000097,1105,371,734
