date,geography,geography code,Welsh writing ability: Total: All usual residents aged 3 years and over,Welsh writing ability: Cannot write Welsh,Welsh writing ability: Can write Welsh
2021,W00000001,W00000001,355,156,199
2021,W00000002,W00000002,237,112,125
2021,W00000003,W00000003,357,182,175
2021,W00000004,W00000004,336,194,142
2021,W00000005,W00000005,459,224,235
2021,W00000006,W00000006,302,154,148
2021,W00000008,W00000008,245,137,108
2021,W00000009,W00000009,415,198,217
2021,W00000010,W00000010,286,204,82
2021,W00000011,W00000011,257,149,108
2021,W00000012,W00000012,288,158,130
2021,W00000013,W00000013,399,193,206
2021,W00000014,W00000014,252,174,78
2021,W00000015,W00000015,227,174,53
2021,W00000016,W00000016,197,150,47
2021,W00000017,W00000017,183,126,57
2021,W00000018,W00000018,211,154,57
2021,W00000019,W00000019,148,119,29
2021,W00000020,W00000020,193,134,59
2021,W00000021,W00000021,170,118,52
2021,W00000022,W00000022,298,117,181
2021,W00000023,W00000023,286,98,188
2021,W00000024,W00000024,371,143,228
2021,W00000025,W00000025,264,81,183
2021,W00000026,W00000026,275,98,177
2021,W00000027,W00000027,350,189,161
2021,W00000028,W00000028,288,166,122
2021,W00000029,W00000029,276,130,146
2021,W00000030,W00000030,377,131,246
2021,W00000031,W00000031,451,148,303
2021,W00000032,W00000032,198,75,123
2021,W00000033,W00000033,258,102,156
2021,W00000034,W00000034,264,107,157
2021,W00000035,W00000035,440,148,292
2021,W00000036,W00000036,256,91,165
2021,W00000037,W00000037,445,168,277
2021,W00000038,W00000038,429,212,217
2021,W00000039,W00000039,373,147,226
2021,W00000040,W00000040,285,134,151
2021,W00000041,W00000041,288,56,232
2021,W00000042,W00000042,188,122,66
2021,W00000043,W00000043,255,168,87
2021,W00000044,W00000044,494,262,232
2021,W00000045,W00000045,333,180,153
2021,W00000046,W00000046,280,166,114
2021,W00000047,W00000047,228,136,92
2021,W00000048,W00000048,258,164,94
2021,W00000049,W00000049,226,150,76
2021,W00000050,W00000050,201,138,63
2021,W00000051,W00000051,316,169,147
2021,W00000052,W00000052,267,93,174
2021,W00000053,W00000053,449,117,332
2021,W00000054,W00000054,260,87,173
2021,W00000055,W00000055,351,145,206
2021,W00000056,W00000056,325,149,176
2021,W00000057,W00000057,416,190,226
2021,W00000058,W00000058,260,158,102
2021,W00000059,W00000059,290,127,163
2021,W00000060,W00000060,247,141,106
2021,W00000061,W00000061,265,155,110
