date,geography,geography code,Welsh reading ability: Total: All usual residents aged 3 years and over,Welsh reading ability: Cannot read Welsh,Welsh reading ability: Can read Welsh
2021,Isle of Anglesey 001A,W01000003,2370,1117,1253
2021,Isle of Anglesey 001B,W01000004,1229,671,558
2021,Isle of Anglesey 005A,W01000005,1585,1062,523
2021,Isle of Anglesey 006A,W01000006,1494,479,1015
2021,Isle of Anglesey 009A,W01000007,1738,705,1033
2021,Isle of Anglesey 008A,W01000008,1417,471,946
2021,Isle of Anglesey 007C,W01000009,1818,665,1153
2021,Isle of Anglesey 002A,W01000010,1775,978,797
2021,Isle of Anglesey 008B,W01000011,999,585,414
2021,Isle of Anglesey 006B,W01000012,1656,544,1112
2021,Isle of Anglesey 005B,W01000013,2130,998,1132
2021,Isle of Anglesey 006C,W01000014,2128,577,1551
2021,Isle of Anglesey 008C,W01000015,1431,538,893
2021,Isle of Anglesey 003A,W01000016,1157,777,380
2021,Isle of Anglesey 003B,W01000017,1636,955,681
2021,Isle of Anglesey 001C,W01000018,1148,662,486
2021,Isle of Anglesey 005C,W01000019,1325,844,481
2021,Isle of Anglesey 002C,W01000021,2266,1182,1084
2021,Isle of Anglesey 004A,W01000022,1576,670,906
2021,Isle of Anglesey 007D,W01000023,1525,587,938
2021,Isle of Anglesey 007E,W01000024,1293,850,443
2021,Isle of Anglesey 009B,W01000025,2097,632,1465
2021,Isle of Anglesey 005D,W01000026,1229,722,507
2021,Isle of Anglesey 009C,W01000027,1810,779,1031
2021,Isle of Anglesey 001D,W01000028,1921,732,1189
2021,Isle of Anglesey 003C,W01000029,1541,922,619
2021,Isle of Anglesey 003D,W01000030,2236,1425,811
2021,Isle of Anglesey 001E,W01000031,1512,718,794
2021,Isle of Anglesey 003E,W01000033,1504,1039,465
2021,Isle of Anglesey 004B,W01000034,1398,820,578
2021,Isle of Anglesey 005E,W01000035,1743,893,850
2021,Isle of Anglesey 003F,W01000036,1070,743,327
2021,Isle of Anglesey 003G,W01000037,1126,718,408
2021,Isle of Anglesey 009D,W01000038,2177,950,1227
2021,Isle of Anglesey 004D,W01000040,1041,730,311
2021,Isle of Anglesey 006D,W01000041,1529,520,1009
2021,Isle of Anglesey 008D,W01000042,1982,935,1047
2021,Isle of Anglesey 004F,W01000044,1070,600,470
2021,Gwynedd 011A,W01000047,1233,328,905
2021,Gwynedd 003A,W01000050,1397,655,742
2021,Gwynedd 015A,W01000051,1945,651,1294
2021,Gwynedd 004A,W01000052,1061,192,869
2021,Gwynedd 004B,W01000053,1144,405,739
2021,Gwynedd 007A,W01000054,989,212,777
2021,Gwynedd 009A,W01000056,1720,496,1224
2021,Gwynedd 016C,W01000057,1358,586,772
2021,Gwynedd 006A,W01000059,2028,557,1471
2021,Gwynedd 015B,W01000060,1227,650,577
2021,Gwynedd 011B,W01000061,1697,746,951
2021,Gwynedd 001A,W01000062,1964,1582,382
2021,Gwynedd 005A,W01000063,1847,618,1229
2021,Gwynedd 002A,W01000064,1943,1029,914
2021,Gwynedd 009B,W01000065,995,319,676
2021,Gwynedd 010A,W01000066,1143,466,677
2021,Gwynedd 016D,W01000067,1165,500,665
2021,Gwynedd 016E,W01000068,1375,603,772
2021,Gwynedd 012A,W01000070,1263,388,875
2021,Gwynedd 003B,W01000071,2174,704,1470
2021,Gwynedd 002B,W01000072,1633,838,795
2021,Gwynedd 008A,W01000073,1620,418,1202
2021,Gwynedd 013B,W01000074,1770,887,883
2021,Gwynedd 002C,W01000075,1368,896,472
2021,Gwynedd 001B,W01000076,1273,873,400
2021,Gwynedd 001C,W01000077,1146,783,363
2021,Gwynedd 011C,W01000078,1517,538,979
2021,Gwynedd 014C,W01000080,1423,677,746
2021,Gwynedd 005B,W01000081,1958,679,1279
2021,Gwynedd 015C,W01000082,1067,402,665
2021,Gwynedd 015D,W01000083,1318,298,1020
2021,Gwynedd 014D,W01000084,1047,438,609
2021,Gwynedd 017C,W01000085,1888,1208,680
2021,Gwynedd 008B,W01000086,2113,688,1425
2021,Gwynedd 004C,W01000087,1778,350,1428
2021,Gwynedd 007B,W01000088,2009,478,1531
2021,Gwynedd 011D,W01000089,1869,530,1339
2021,Gwynedd 002D,W01000090,1315,707,608
2021,Gwynedd 001D,W01000091,1048,602,446
2021,Gwynedd 001E,W01000092,3035,2329,706
2021,Gwynedd 006B,W01000093,2184,562,1622
2021,Gwynedd 012B,W01000094,1188,361,827
2021,Gwynedd 012C,W01000095,1258,364,894
2021,Gwynedd 003C,W01000096,1220,280,940
2021,Gwynedd 003D,W01000097,1104,341,763
2021,Gwynedd 006C,W01000098,2422,619,1803
2021,Gwynedd 005C,W01000099,1617,570,1047
2021,Gwynedd 010B,W01000100,1032,346,686
2021,Gwynedd 013D,W01000101,1330,406,924
2021,Gwynedd 002E,W01000102,1832,806,1026
2021,Gwynedd 005D,W01000103,1141,535,606
2021,Gwynedd 008C,W01000104,1745,379,1366
2021,Gwynedd 010C,W01000105,1689,474,1215
2021,Gwynedd 010D,W01000106,1475,715,760
2021,Gwynedd 010E,W01000107,1167,460,707
2021,Gwynedd 012D,W01000108,2032,572,1460
2021,Gwynedd 012E,W01000109,1815,578,1237
2021,Gwynedd 006D,W01000110,1544,292,1252
2021,Gwynedd 007C,W01000111,1530,473,1057
2021,Gwynedd 008D,W01000112,1877,666,1211
2021,Gwynedd 009C,W01000113,1793,544,1249
2021,Gwynedd 009D,W01000114,1378,399,979
2021,Gwynedd 003E,W01000115,2066,749,1317
2021,Gwynedd 017D,W01000116,1650,1108,542
2021,Gwynedd 017E,W01000117,1437,924,513
2021,Gwynedd 007D,W01000118,1653,503,1150
2021,Gwynedd 004D,W01000119,2257,821,1436
2021,Conwy 015A,W01000121,1126,635,491
2021,Conwy 014A,W01000122,1916,1172,744
2021,Conwy 013A,W01000123,1700,1041,659
2021,Conwy 012A,W01000124,1906,1238,668
2021,Conwy 013B,W01000125,1494,1082,412
2021,Conwy 009A,W01000126,1640,1271,369
2021,Conwy 009B,W01000127,1334,1145,189
2021,Conwy 009C,W01000128,1449,1152,297
2021,Conwy 012B,W01000129,1151,907,244
2021,Conwy 012C,W01000130,1391,1093,298
2021,Conwy 012D,W01000131,1623,1127,496
2021,Conwy 001A,W01000132,1500,1238,262
2021,Conwy 002A,W01000133,1754,1431,323
2021,Conwy 015B,W01000134,1990,966,1024
2021,Conwy 006A,W01000135,1966,1597,369
2021,Conwy 006B,W01000136,1723,1342,381
2021,Conwy 015C,W01000137,1509,744,765
2021,Conwy 008A,W01000138,1889,1457,432
2021,Conwy 007A,W01000139,1576,1217,359
2021,Conwy 010B,W01000140,1721,1342,379
2021,Conwy 010C,W01000141,1501,1213,288
2021,Conwy 010D,W01000142,1493,1137,356
2021,Conwy 007B,W01000143,1525,1221,304
2021,Conwy 007C,W01000144,1594,1358,236
2021,Conwy 008B,W01000145,1259,984,275
2021,Conwy 001B,W01000146,2002,1697,305
2021,Conwy 001C,W01000147,1473,1241,232
2021,Conwy 015D,W01000148,1046,465,581
2021,Conwy 005A,W01000149,1456,1332,124
2021,Conwy 005B,W01000150,1451,1269,182
2021,Conwy 005C,W01000151,1475,1305,170
2021,Conwy 005D,W01000152,1383,1236,147
2021,Conwy 009D,W01000153,1572,1288,284
2021,Conwy 003A,W01000154,1375,1133,242
2021,Conwy 004A,W01000155,1381,1151,230
2021,Conwy 004B,W01000156,1470,1254,216
2021,Conwy 004C,W01000157,1378,1184,194
2021,Conwy 004D,W01000158,1530,1240,290
2021,Conwy 014B,W01000159,1388,570,818
2021,Conwy 014C,W01000162,1772,783,989
2021,Conwy 009E,W01000163,1325,1100,225
2021,Conwy 009F,W01000164,1315,1061,254
2021,Conwy 006C,W01000165,1831,1367,464
2021,Conwy 006D,W01000166,2664,1999,665
2021,Conwy 011C,W01000167,1933,1550,383
2021,Conwy 002B,W01000168,1776,1448,328
2021,Conwy 001D,W01000169,1737,1471,266
2021,Conwy 013C,W01000170,1753,1050,703
2021,Conwy 013D,W01000171,1452,1055,397
2021,Conwy 013E,W01000172,1220,849,371
2021,Conwy 003B,W01000173,1418,1109,309
2021,Conwy 003C,W01000174,1557,1235,322
2021,Conwy 003D,W01000175,1502,1217,285
2021,Conwy 011D,W01000176,1556,1149,407
2021,Conwy 011E,W01000177,1392,1027,365
2021,Conwy 010E,W01000178,1947,1562,385
2021,Conwy 010F,W01000179,1949,1563,386
2021,Conwy 008C,W01000180,1477,1194,283
2021,Conwy 008D,W01000181,1425,1124,301
2021,Conwy 007D,W01000182,2036,1737,299
2021,Conwy 008E,W01000183,1445,1188,257
2021,Conwy 005E,W01000184,2223,1983,240
2021,Conwy 015E,W01000185,1205,747,458
2021,Conwy 001E,W01000186,1552,1285,267
2021,Conwy 002C,W01000187,1465,1196,269
2021,Conwy 002D,W01000188,1549,1258,291
2021,Conwy 015F,W01000189,1428,596,832
2021,Conwy 014D,W01000190,1359,516,843
2021,Denbighshire 009A,W01000191,2027,1714,313
2021,Denbighshire 016A,W01000192,974,600,374
2021,Denbighshire 015A,W01000193,1220,778,442
2021,Denbighshire 011A,W01000194,1849,1368,481
2021,Denbighshire 012A,W01000195,1412,799,613
2021,Denbighshire 012B,W01000196,1360,879,481
2021,Denbighshire 012C,W01000197,1647,1096,551
2021,Denbighshire 011B,W01000198,1324,1048,276
2021,Denbighshire 011C,W01000199,1661,1159,502
2021,Denbighshire 008A,W01000200,1256,1020,236
2021,Denbighshire 008B,W01000201,1667,1416,251
2021,Denbighshire 015B,W01000202,1597,888,709
2021,Denbighshire 013A,W01000203,2389,1906,483
2021,Denbighshire 013B,W01000204,1424,966,458
2021,Denbighshire 016B,W01000205,1173,576,597
2021,Denbighshire 013C,W01000206,2171,1450,721
2021,Denbighshire 015C,W01000207,2243,1312,931
2021,Denbighshire 016C,W01000208,1257,1045,212
2021,Denbighshire 016D,W01000209,1373,1107,266
2021,Denbighshire 016E,W01000210,1306,1031,275
2021,Denbighshire 012D,W01000211,1761,990,771
2021,Denbighshire 003A,W01000212,2132,1732,400
2021,Denbighshire 002A,W01000213,1277,1095,182
2021,Denbighshire 002B,W01000214,1124,986,138
2021,Denbighshire 002C,W01000215,1437,1193,244
2021,Denbighshire 002D,W01000216,1258,1082,176
2021,Denbighshire 008C,W01000217,1950,1651,299
2021,Denbighshire 001A,W01000218,1548,1359,189
2021,Denbighshire 001B,W01000219,2546,2208,338
2021,Denbighshire 001C,W01000220,1611,1456,155
2021,Denbighshire 003B,W01000221,1304,1144,160
2021,Denbighshire 003C,W01000222,1749,1504,245
2021,Denbighshire 009B,W01000223,1271,1079,192
2021,Denbighshire 009C,W01000224,1521,1268,253
2021,Denbighshire 009D,W01000225,1404,1156,248
2021,Denbighshire 004A,W01000226,1485,1342,143
2021,Denbighshire 004B,W01000227,1454,1283,171
2021,Denbighshire 004C,W01000228,1598,1421,177
2021,Denbighshire 017E,W01000229,1494,1268,226
2021,Denbighshire 017F,W01000230,1865,1561,304
2021,Denbighshire 017A,W01000231,1297,1110,187
2021,Denbighshire 017B,W01000232,1584,1347,237
2021,Denbighshire 017C,W01000233,1261,1096,165
2021,Denbighshire 017G,W01000234,2182,1886,296
2021,Denbighshire 017D,W01000235,1290,1072,218
2021,Denbighshire 006A,W01000236,1902,1647,255
2021,Denbighshire 006B,W01000237,1704,1554,150
2021,Denbighshire 006C,W01000238,1734,1505,229
2021,Denbighshire 004D,W01000239,1652,1507,145
2021,Denbighshire 004E,W01000240,1590,1432,158
2021,Denbighshire 004F,W01000241,1449,1293,156
2021,Denbighshire 014A,W01000242,1909,1316,593
2021,Denbighshire 014B,W01000243,2049,1415,634
2021,Denbighshire 014C,W01000244,1567,829,738
2021,Denbighshire 010A,W01000245,1796,1395,401
2021,Denbighshire 010B,W01000246,1600,1340,260
2021,Denbighshire 010C,W01000247,1781,1308,473
2021,Denbighshire 008D,W01000248,1600,1210,390
2021,Flintshire 014A,W01000249,1167,1022,145
2021,Flintshire 014B,W01000250,1396,1193,203
2021,Flintshire 013A,W01000251,1503,1380,123
2021,Flintshire 010A,W01000252,1602,1474,128
2021,Flintshire 003A,W01000253,1787,1597,190
2021,Flintshire 003B,W01000254,2052,1831,221
2021,Flintshire 015A,W01000255,2207,2042,165
2021,Flintshire 015B,W01000256,1500,1378,122
2021,Flintshire 015C,W01000257,2612,2453,159
2021,Flintshire 006A,W01000258,2061,1755,306
2021,Flintshire 017A,W01000259,1628,1468,160
2021,Flintshire 017B,W01000260,1673,1508,165
2021,Flintshire 014C,W01000261,1378,1214,164
2021,Flintshire 017C,W01000262,1376,1258,118
2021,Flintshire 017D,W01000263,1298,1192,106
2021,Flintshire 012A,W01000264,1663,1471,192
2021,Flintshire 012B,W01000265,1445,1293,152
2021,Flintshire 017E,W01000266,1597,1407,190
2021,Flintshire 017F,W01000267,1979,1779,200
2021,Flintshire 013B,W01000268,1619,1416,203
2021,Flintshire 020A,W01000269,1522,1341,181
2021,Flintshire 006B,W01000270,1217,988,229
2021,Flintshire 006C,W01000271,1217,985,232
2021,Flintshire 006D,W01000272,1757,1462,295
2021,Flintshire 007A,W01000273,1498,1384,114
2021,Flintshire 007B,W01000274,1836,1720,116
2021,Flintshire 007C,W01000275,1159,1070,89
2021,Flintshire 008A,W01000276,1165,1054,111
2021,Flintshire 008B,W01000277,1327,1188,139
2021,Flintshire 007D,W01000278,1418,1319,99
2021,Flintshire 008C,W01000279,1151,1057,94
2021,Flintshire 010B,W01000280,1686,1533,153
2021,Flintshire 008D,W01000281,1142,1050,92
2021,Flintshire 010C,W01000282,1589,1435,154
2021,Flintshire 008E,W01000283,2252,2090,162
2021,Flintshire 013C,W01000284,1685,1525,160
2021,Flintshire 013D,W01000285,1566,1437,129
2021,Flintshire 013E,W01000286,2130,1884,246
2021,Flintshire 001A,W01000287,1820,1553,267
2021,Flintshire 004A,W01000288,2111,1910,201
2021,Flintshire 005A,W01000289,1300,1139,161
2021,Flintshire 004B,W01000290,1240,1112,128
2021,Flintshire 005B,W01000291,1266,1114,152
2021,Flintshire 004C,W01000292,1419,1270,149
2021,Flintshire 004D,W01000293,2558,2264,294
2021,Flintshire 005C,W01000294,1844,1619,225
2021,Flintshire 005D,W01000295,1537,1368,169
2021,Flintshire 003C,W01000296,1490,1331,159
2021,Flintshire 003D,W01000297,1195,1033,162
2021,Flintshire 001B,W01000298,1439,1233,206
2021,Flintshire 019A,W01000299,1859,1592,267
2021,Flintshire 019B,W01000300,1592,1318,274
2021,Flintshire 006E,W01000301,1688,1400,288
2021,Flintshire 013F,W01000302,1895,1706,189
2021,Flintshire 018A,W01000303,1681,1506,175
2021,Flintshire 003E,W01000304,2008,1776,232
2021,Flintshire 003F,W01000305,1854,1593,261
2021,Flintshire 002A,W01000306,2360,2015,345
2021,Flintshire 020B,W01000307,1392,1239,153
2021,Flintshire 020C,W01000308,1158,1003,155
2021,Flintshire 019C,W01000309,2058,1811,247
2021,Flintshire 020D,W01000310,1851,1565,286
2021,Flintshire 011A,W01000311,1634,1506,128
2021,Flintshire 011B,W01000312,1567,1459,108
2021,Flintshire 016A,W01000313,1554,1285,269
2021,Flintshire 016B,W01000314,1100,938,162
2021,Flintshire 016C,W01000315,1904,1628,276
2021,Flintshire 016D,W01000316,1199,902,297
2021,Flintshire 016E,W01000317,1563,1111,452
2021,Flintshire 016F,W01000318,1163,1040,123
2021,Flintshire 016G,W01000319,1396,1183,213
2021,Flintshire 002B,W01000320,1831,1589,242
2021,Flintshire 014D,W01000321,1598,1398,200
2021,Flintshire 014E,W01000322,1344,1162,182
2021,Flintshire 012C,W01000323,1536,1317,219
2021,Flintshire 012D,W01000324,1471,1249,222
2021,Flintshire 010D,W01000325,1760,1575,185
2021,Flintshire 018B,W01000326,2151,1891,260
2021,Flintshire 018C,W01000327,2385,2123,262
2021,Flintshire 011C,W01000328,1866,1744,122
2021,Flintshire 015D,W01000329,1555,1465,90
2021,Flintshire 015E,W01000330,2013,1918,95
2021,Flintshire 015F,W01000331,1421,1346,75
