date,geography,geography code,Welsh understanding ability: Total: All usual residents aged 3 years and over,Welsh understanding ability: Cannot understand spoken Welsh,Welsh understanding ability: Can understand spoken Welsh
2021,W00000001,W00000001,353,118,235
2021,W00000002,W00000002,236,80,156
2021,W00000003,W00000003,357,130,227
2021,W00000004,W00000004,336,144,192
2021,W00000005,W00000005,460,126,334
2021,W00000006,W00000006,302,100,202
2021,W00000008,W00000008,244,98,146
2021,W00000009,W00000009,415,113,302
2021,W00000010,W00000010,286,176,110
2021,W00000011,W00000011,257,122,135
2021,W00000012,W00000012,288,122,166
2021,W00000013,W00000013,400,117,283
2021,W00000014,W00000014,252,93,159
2021,W00000015,W00000015,228,143,85
2021,W00000016,W00000016,199,106,93
2021,W00000017,W00000017,183,82,101
2021,W00000018,W00000018,211,91,120
2021,W00000019,W00000019,149,95,54
2021,W00000020,W00000020,193,73,120
2021,W00000021,W00000021,174,89,85
2021,W00000022,W00000022,297,79,218
2021,W00000023,W00000023,287,77,210
2021,W00000024,W00000024,371,110,261
2021,W00000025,W00000025,264,57,207
2021,W00000026,W00000026,275,71,204
2021,W00000027,W00000027,348,156,192
2021,W00000028,W00000028,287,117,170
2021,W00000029,W00000029,274,103,171
2021,W00000030,W00000030,377,93,284
2021,W00000031,W00000031,451,99,352
2021,W00000032,W00000032,200,41,159
2021,W00000033,W00000033,258,68,190
2021,W00000034,W00000034,264,69,195
2021,W00000035,W00000035,440,95,345
2021,W00000036,W00000036,256,66,190
2021,W00000037,W00000037,444,130,314
2021,W00000038,W00000038,429,135,294
2021,W00000039,W00000039,374,107,267
2021,W00000040,W00000040,283,113,170
2021,W00000041,W00000041,288,46,242
2021,W00000042,W00000042,187,98,89
2021,W00000043,W00000043,255,130,125
2021,W00000044,W00000044,494,192,302
2021,W00000045,W00000045,332,143,189
2021,W00000046,W00000046,280,128,152
2021,W00000047,W00000047,227,104,123
2021,W00000048,W00000048,258,132,126
2021,W00000049,W00000049,224,110,114
2021,W00000050,W00000050,201,90,111
2021,W00000051,W00000051,316,126,190
2021,W00000052,W00000052,269,62,207
2021,W00000053,W00000053,449,67,382
2021,W00000054,W00000054,262,65,197
2021,W00000055,W00000055,349,123,226
2021,W00000056,W00000056,325,86,239
2021,W00000057,W00000057,416,130,286
2021,W00000058,W00000058,261,120,141
2021,W00000059,W00000059,288,75,213
2021,W00000060,W00000060,246,105,141
2021,W00000061,W00000061,267,110,157
2021,W00000062,W00000062,379,119,260
2021,W00000063,W00000063,271,107,164
2021,W00000064,W00000064,239,43,196
2021,W00000065,W00000065,303,86,217
2021,W00000066,W00000066,283,59,224
2021,W00000067,W00000067,527,106,421
2021,W00000068,W00000068,410,87,323
2021,W00000069,W00000069,370,67,303
2021,W00000070,W00000070,409,99,310
2021,W00000071,W00000071,371,129,242
2021,W00000072,W00000072,250,47,203
2021,W00000073,W00000073,211,61,150
2021,W00000074,W00000074,188,59,129
2021,W00000075,W00000075,265,138,127
2021,W00000076,W00000076,251,113,138
2021,W00000077,W00000077,367,178,189
2021,W00000078,W00000078,270,114,156
2021,W00000079,W00000079,285,119,166
2021,W00000080,W00000080,356,137,219
2021,W00000081,W00000081,290,124,166
2021,W00000082,W00000082,387,144,243
2021,W00000083,W00000083,322,105,217
2021,W00000084,W00000084,127,64,63
2021,W00000086,W00000086,193,65,128
2021,W00000087,W00000087,173,88,85
2021,W00000088,W00000088,283,136,147
2021,W00000090,W00000090,150,55,95
2021,W00000091,W00000091,293,112,181
2021,W00000092,W00000092,173,112,61
2021,W00000093,W00000093,173,112,61
2021,W00000094,W00000094,266,146,120
2021,W00000095,W00000095,216,136,80
2021,W00000096,W00000096,203,105,98
2021,W00000097,W00000097,401,111,290
2021,W00000098,W00000098,315,90,225
2021,W00000099,W00000099,324,83,241
2021,W00000100,W00000100,253,121,132
2021,W00000101,W00000101,304,114,190
2021,W00000102,W00000102,301,159,142
2021,W00000103,W00000103,356,185,171
2021,W00000104,W00000104,278,83,195
2021,W00000105,W00000105,360,148,212
2021,W00000106,W00000106,300,98,202
2021,W00000107,W00000107,369,144,225
2021,W00000108,W00000108,475,196,279
2021,W00000109,W00000109,244,73,171
2021,W00000110,W00000110,319,118,201
2021,W00000111,W00000111,252,107,145
2021,W00000112,W00000112,285,79,206
2021,W00000113,W00000113,351,69,282
2021,W00000114,W00000114,360,110,250
2021,W00000115,W00000115,447,122,325
2021,W00000116,W00000116,395,159,236
2021,W00000117,W00000117,340,250,90
2021,W00000118,W00000118,294,128,166
2021,W00000119,W00000119,267,167,100
2021,W00000120,W00000120,367,143,224
2021,W00000121,W00000121,275,62,213
2021,W00000122,W00000122,315,64,251
2021,W00000123,W00000123,342,69,273
2021,W00000124,W00000124,428,117,311
2021,W00000125,W00000125,293,62,231
2021,W00000126,W00000126,446,123,323
2021,W00000127,W00000127,288,104,184
2021,W00000128,W00000128,276,101,175
2021,W00000129,W00000129,301,153,148
2021,W00000130,W00000130,166,91,75
2021,W00000131,W00000131,198,119,79
2021,W00000132,W00000132,305,129,176
2021,W00000133,W00000133,511,136,375
2021,W00000134,W00000134,325,110,215
2021,W00000135,W00000135,360,124,236
2021,W00000136,W00000136,312,72,240
2021,W00000137,W00000137,223,81,142
2021,W00000138,W00000138,304,82,222
2021,W00000139,W00000139,407,97,310
2021,W00000140,W00000140,407,110,297
2021,W00000141,W00000141,285,84,201
2021,W00000142,W00000142,296,133,163
2021,W00000143,W00000143,326,129,197
2021,W00000144,W00000144,267,98,169
2021,W00000145,W00000145,414,148,266
2021,W00000146,W00000146,270,101,169
2021,W00000147,W00000147,264,111,153
2021,W00000148,W00000148,164,75,89
